ID;TABLE;SEATING
1;1;SEATING_1
2;2;SEATING_1
3;3;SEATING_1
4;4;SEATING_1
5;5;SEATING_1
6;6;SEATING_1
7;7;SEATING_1
8;8;SEATING_1
9;5;SEATING_1
10;2;SEATING_1
11;3;SEATING_1
12;4;SEATING_1
13;2;SEATING_1
14;6;SEATING_1
15;7;SEATING_1
16;8;SEATING_1
17;1;SEATING_1
18;2;SEATING_1
19;3;SEATING_1
20;4;SEATING_1
21;5;SEATING_1
22;6;SEATING_1
23;7;SEATING_1
24;8;SEATING_1
25;1;SEATING_1
26;5;SEATING_1
1;1;SEATING_2
2;8;SEATING_2
3;8;SEATING_2
4;3;SEATING_2
5;4;SEATING_2
6;1;SEATING_2
7;7;SEATING_2
8;5;SEATING_2
9;3;SEATING_2
10;5;SEATING_2
11;2;SEATING_2
12;4;SEATING_2
13;7;SEATING_2
14;7;SEATING_2
15;3;SEATING_2
16;8;SEATING_2
17;5;SEATING_2
18;6;SEATING_2
19;2;SEATING_2
20;1;SEATING_2
21;7;SEATING_2
22;2;SEATING_2
23;4;SEATING_2
24;6;SEATING_2
25;6;SEATING_2
26;7;SEATING_2
1;8;SEATING_3
2;4;SEATING_3
3;5;SEATING_3
4;1;SEATING_3
5;7;SEATING_3
6;6;SEATING_3
7;8;SEATING_3
8;3;SEATING_3
9;6;SEATING_3
10;3;SEATING_3
11;5;SEATING_3
12;8;SEATING_3
13;3;SEATING_3
14;1;SEATING_3
15;3;SEATING_3
16;1;SEATING_3
17;5;SEATING_3
18;6;SEATING_3
19;4;SEATING_3
20;4;SEATING_3
21;2;SEATING_3
22;2;SEATING_3
23;2;SEATING_3
24;7;SEATING_3
25;7;SEATING_3
26;9;SEATING_3
